date,AAPL,MSFT,JPM,AMZN,F,TSLA,GM,BAC,EPU
2017-06-01,0.20554569773362938,0.16698901967007992,0.1830307453743094,0.17277366434068384,0.1754508892938054,0.34779849382124667,0.1737028806673991,0.24545401123575097,120.638462013977
2017-07-01,0.18906756653334533,0.1720689340162987,0.15458112707125818,0.19664710194969223,0.1736103367714998,0.42157310033493545,0.1250829684410572,0.20399915009952818,141.13833497496017
2017-08-01,0.20488707084774335,0.13738207779918002,0.12965320118606632,0.1971317863316696,0.17088982952791512,0.4102788532802938,0.1593407035282253,0.19124650544138277,137.85970356732346
2017-09-01,0.19180178359296923,0.13339997989383162,0.14703286979132654,0.17666964007433061,0.1462370319451601,0.3355237780287396,0.1586639283481342,0.21918661397696143,116.62001749224488
2017-10-01,0.15767641586715614,0.12467349671427566,0.1417815600290989,0.18028100214870532,0.12934249056296754,0.3174660258007625,0.20328910043386908,0.18305326556592397,125.86584390490805
2017-11-01,0.193070030053352,0.1963217293737123,0.13736172693766205,0.3809680910553769,0.15180732761337717,0.3604842790246955,0.2414743885741663,0.1713769823158545,111.28268645750131
2017-12-01,0.1747537720235184,0.2016527781922024,0.17499907705539228,0.24301862118745654,0.14460452424601244,0.33017590846991474,0.2049263574238064,0.2046939161291414,140.35018163208687
2018-01-01,0.1568516861989066,0.1660121077270955,0.1456210384397626,0.16501707508014377,0.20576168143163154,0.3145455341176587,0.21617103459576348,0.15234233242785647,160.96720482315624
2018-02-01,0.27251075709775574,0.2870439495205795,0.2420124745728783,0.3027858209901362,0.33847082653840455,0.3802513200615547,0.30360537889343253,0.25606090236133827,114.75555830719168
2018-03-01,0.2855156856789745,0.3145126041378048,0.27079743972947223,0.2957045339406351,0.27219386423938374,0.4281515012741069,0.30757328317963883,0.27992071107019867,187.0958898895265
2018-04-01,0.2614845672175379,0.3612104973589998,0.2728338935799031,0.3703687595412672,0.23738217280581997,0.5986434034655742,0.3020503325029095,0.3064855435237461,139.0353863798274
2018-05-01,0.2815164481869235,0.25038803620138567,0.2113939723800093,0.31822802761488983,0.2103486181959762,0.4789090435517819,0.24455364279805233,0.2307901054432414,162.27669727441403
2018-06-01,0.1591117047103357,0.1488150468150302,0.20604516998133246,0.1504138393178959,0.15526396086669456,0.4516024802684483,0.4089727196193757,0.21120123168565264,134.40277095276352
2018-07-01,0.14581612323656312,0.16783066955451803,0.202957432388177,0.1934546055708156,0.1520038780839512,0.49141082545659415,0.3056799276845022,0.2179145233897685,176.20507806975243
2018-08-01,0.2181905738802083,0.184657910350612,0.17926229496202598,0.20579587213557093,0.23713819749464318,0.6628209615738693,0.25308541831260983,0.20234017630149378,114.9613708572396
2018-09-01,0.20269785059345677,0.16153216383776595,0.12466923526876719,0.20945458107758388,0.22874233429384871,0.6343358346748179,0.24230955345206695,0.13708899077858355,120.9851906831101
2018-10-01,0.25834204455003873,0.2528687071400276,0.1809804675046802,0.331633145295649,0.25576974076552117,0.849357084635787,0.2801297417548769,0.19632949398662763,136.11465330894578
2018-11-01,0.39677310284219286,0.38513155561594786,0.2285456244693385,0.5772110641899136,0.40313681142237245,0.6914656520117637,0.4032643401288465,0.26382995823548167,164.94220233666894
2018-12-01,0.4219549231006045,0.36454924422040946,0.2560890819538941,0.5519599391924856,0.32236013563959454,0.4538279306027059,0.360821008113975,0.29767284250913784,226.576887835438
2019-01-01,0.4874174545597702,0.3934959234829467,0.258316587443849,0.5276474056968651,0.3823255152116795,0.6720836469003917,0.3711000086596964,0.35081997851569013,284.1359376541715
2019-02-01,0.3737952074054035,0.28324276724942843,0.17161063594445936,0.38616901742808685,0.37375728161546046,0.5892751118782862,0.2792043270092111,0.28453698628655105,123.63928802128096
2019-03-01,0.21257903436928738,0.1800599002345985,0.15412192463893928,0.26101932001302536,0.254104574400164,0.4426797898371822,0.17084502596391588,0.17940052359395767,180.63169968632656
