date,EPU,credit_spread,yield_curve_slope,bbb_aaa_spread
2008-06-01,89.13688332817846,2.97,1.33,1.3900000000000006
2008-07-01,115.10272430568088,3.15,1.43,1.4900000000000002
2008-08-01,81.1630782735328,3.26,1.47,1.5100000000000007
2008-09-01,238.17187424023004,3.63,1.61,1.6599999999999993
2008-10-01,241.7722778211416,5.06,2.2,2.6000000000000005
2008-11-01,162.71338402414273,5.69,2.31,3.0900000000000007
2008-12-01,157.82867702696615,6.01,1.6,3.38
2009-01-01,184.8178304010666,5.63,1.71,3.0900000000000007
2009-02-01,202.54796673020627,5.21,1.89,2.8100000000000005
2009-03-01,167.99121944262882,5.6,1.89,2.92
2009-04-01,107.92724800662688,5.46,2.0,3.000000000000001
2009-05-01,125.94462128322635,4.77,2.36,2.5200000000000005
2009-06-01,112.47263513210392,3.77,2.54,1.8899999999999997
2009-07-01,104.35510709905104,3.53,2.54,1.6799999999999997
2009-08-01,111.17433944828352,2.99,2.47,1.3200000000000003
2009-09-01,99.00963605868142,2.91,2.45,1.1799999999999997
2009-10-01,86.24175958283952,2.9,2.44,1.1399999999999997
2009-11-01,99.77926919298856,2.92,2.6,1.13
2009-12-01,108.39608714570848,2.78,2.72,1.1100000000000003
2010-01-01,136.8638567524851,2.51,2.8,0.9900000000000002
2010-02-01,116.72155709274664,2.65,2.83,0.9900000000000002
2010-03-01,124.68750888053152,2.55,2.77,1.0
2010-04-01,123.70220486752557,2.41,2.79,0.96
2010-05-01,147.7632571041711,2.63,2.59,1.0899999999999999
2010-06-01,129.73219825852576,3.03,2.48,1.3500000000000005
2010-07-01,196.947246910094,3.0,2.39,1.29
2010-08-01,127.228173207006,2.96,2.18,1.17
2010-09-01,186.74124807429988,3.01,2.17,1.13
2010-10-01,154.76274087338885,3.18,2.16,1.04
2010-11-01,175.04428360372944,3.16,2.31,1.0499999999999998
2010-12-01,151.55332953432713,2.81,2.67,1.08
2011-01-01,111.49282491700214,2.69,2.78,1.0499999999999998
2011-02-01,104.56237005718248,2.57,2.8,0.9300000000000006
2011-03-01,153.84172881941558,2.62,2.72,0.9000000000000004
2011-04-01,124.84658739325506,2.57,2.72,0.8599999999999994
2011-05-01,84.54916109828461,2.61,2.61,0.8200000000000003
2011-06-01,139.03789822439276,2.75,2.59,0.7599999999999998
2011-07-01,207.16030727622615,2.76,2.6,0.8300000000000001
2011-08-01,283.66557475900305,3.06,2.07,0.9900000000000002
2011-09-01,214.42610531268,3.3,1.76,1.1799999999999997
2011-10-01,137.8392521317936,3.22,1.87,1.3900000000000001
2011-11-01,143.71456285976535,3.12,1.76,1.2699999999999996
2011-12-01,183.0886070839736,3.27,1.72,1.3199999999999998
2012-01-01,154.4180208360814,3.26,1.73,1.3800000000000003
2012-02-01,119.4354400314271,3.17,1.69,1.2899999999999996
2012-03-01,98.74810531454744,3.06,1.83,1.2400000000000002
